Question,Answer,Source,Question_Swahili,Answer_Swahili,Question_Sheng,Answer_Sheng,Cleaned_Question,Cleaned_Answer
Can I pay my account in-store?,"Yes, you will be able to pay your account in-store however, we have four easy payment options you can use without leaving your house. You can pay your account by visiting mrpmoney.com, using your Mr Price app, by dialing *120*410# or using online banking.",https://www.mrp.com/customer-service/faqs,Je! Ninaweza kulipa akaunti yangu katika duka?,"Ndio, utaweza kulipa akaunti yako katika duka hata hivyo, tuna chaguzi nne rahisi za malipo ambazo unaweza kutumia bila kuacha nyumba yako.Unaweza kulipa akaunti yako kwa kutembelea mrpmoney.com, ukitumia programu yako ya bei ya MR, kwa kupiga *120 *410# au kutumia benki ya mkondoni.",Je! Ninaweza kulipa akaunti yangu katika duka?,"Ndio, utaweza kulipa akaunti yako katika duka hata hivyo, tuna chaguzi nne rahisi za malipo ambazo unaeza kutumia bila kuacha nyumba yako.Unaweza kulipa akaunti yako kwa kutembelea mrpmoney.com, ukitumia programu yako ya bei ya MR, kwa kupiga *120 *410# au kutumia benki ya mkondoni.",pay account instore,yes able pay account instore however four easy payment option use without leaving house pay account visiting mrpmoneycom using mr price app dialing 120410 using online banking
How do I shop online with Mr Price?,"It is really easy!
Whether youâ€™re on your mobile phone or PC, getting started with us is a breeze. Simply register to unlock a world of shopping at your fingertips.
Once youâ€™re in, feel free to explore our site and discover items that catch your eye. When youâ€™ve made your choice, click on the â€œAdd to Bagâ€ button to secure your selection. Please note, some items may require you to pick your preferred colour and size.
Next up is the checkout process. Here, youâ€™ll be prompted to choose your delivery option. After that, you can select your preferred payment method (for more information, please refer to our payment options).
Upon completion of your purchase, weâ€™ll promptly send you an SMS or email to confirm that weâ€™ve received your order. But thatâ€™s not all - weâ€™ll also keep you updated on the status of your order every step of the way. Happy shopping!",https://www.mrp.com/customer-service/faqs,Je! Ninanunuaje mkondoni na Mr Bei?,"Ni rahisi sana!
Ikiwa uko kwenye simu yako ya rununu au PC yako, kuanza na sisi ni upepo.Jiandikishe tu kufungua ulimwengu wa ununuzi kwenye vidole vyako.
Mara tu utakapoingia, jisikie huru kuchunguza tovuti yetu na kugundua vitu ambavyo vinashika jicho lako.Unapofanya chaguo lako, bonyeza kitufe cha â € œDed ili kupata chaguo lako.Tafadhali kumbuka, vitu vingine vinaweza kukuhitaji uchague rangi na saizi unayopendelea.
Ifuatayo ni mchakato wa Checkout.Hapa, utahamasishwa kuchagua chaguo lako la utoaji.Baada ya hapo, unaweza kuchagua njia yako ya malipo unayopendelea (kwa habari zaidi, tafadhali rejelea chaguzi zetu za malipo).
Baada ya kukamilisha ununuzi wako, tutakutumia mara moja SMS au barua pepe ili kudhibitisha kuwa tumepokea agizo lako.Lakini hiyo sio yote - tutaweza pia kukufanya usasishwe juu ya hali ya agizo lako kila hatua ya njia.Ununuzi wenye furaha!",Je! Ninanunuaje mkondoni na Mr Bei?,"Ni rahisi sana!
Ikiwa uko kwenye simu yako ya rununu au PC yako, kuanza na sisi ni upepo.Jiandikishe tu kufungua ulimwengu wa ununuzi kwenye vidole vyako.
Mara tu utakapoingia, jisikie huru kuchunguza tovuti yetu na kugundua vitu ambavyo vinashika jicho lako.Unapofanya chaguo lako, bonyeza kitufe cha â € œDed ili kupata chaguo lako.Tafadhali kumbuka, vitu vingine vinaweza kukuhitaji uchague rangi na saizi unayopendelea.
Ifuatayo ni mchakato wa Checkout.Hapa, utahamasishwa kuchagua chaguo lako la utoaji.Baada ya hapo, unaeza kuchagua njia yako ya malipo unayopendelea (kwa niaje zaidi, tafadhali rejelea chaguzi zetu za malipo).
Baada ya kukamilisha ununuzi wako, tutakutumia mara moja SMS au barua pepe ili kudhibitisha kuwa tumepokea agizo lako.Lakini hiyo sio yote - tutaweza pia kukufanya usasishwe juu ya hali ya agizo lako kila hatua ya njia.Ununuzi wenye furaha!",shop online mr price,really easy whether youâ€™re mobile phone pc getting started u breeze simply register unlock world shopping fingertip youâ€™re feel free explore site discover item catch eye youâ€™ve made choice click â€œadd bagâ€ button secure selection please note item may require pick preferred colour size next checkout process youâ€™ll prompted choose delivery option select preferred payment method information please refer payment option upon completion purchase weâ€™ll promptly send sm email confirm weâ€™ve received order thatâ€™s weâ€™ll also keep updated status order every step way happy shopping
Can I shop online using your App?,"Yes, you can! You get R100 off your first order on the Mr Price app! Simply use the coupon MRP100 at checkout. find out more about the Mr Price here",https://www.mrp.com/customer-service/faqs,Je! Ninaweza kununua mtandaoni kwa kutumia programu yako?,"Ndio, unaweza!Unapata R100 mbali na agizo lako la kwanza kwenye programu ya Bei ya MR!Tumia tu kuponi MRP100 wakati wa Checkout.Tafuta zaidi juu ya bei ya MR hapa",Je! Ninaweza kununua mtandaoni kwa kutumia programu yako?,"Ndio, unaeza!Unapata R100 mbali na agizo lako la kwanza kwenye programu ya Bei ya MR!Tumia tu kuponi MRP100 wakati wa Checkout.Tafuta zaidi juu ya bei ya MR hapa",shop online using app,yes get r100 first order mr price app simply use coupon mrp100 checkout find mr price
How do I search for something specific in the Mr Price online store?,"There are two ways to find what you're looking for.
You can select the category that you want to shop in (Ladies, Mens or Kids) and then you can shop by brand (e.g. RT, Oakridge, RED. REDX) or by sub-category (e.g. dresses, shoes, maternity). Once you have selected what you want to view, you can sort it in a number of ways. For example, you can sort from lowest price to highest price, and you can ask that only the sizes that you want to shop for are shown to you. You can also choose how many items are shown per page as well as how many items are shown per row.
You can type in what you are looking for using the search icon at the top of the page and we will show you any items that relate to your search criteria. Our online store is separate from our physical stores, and as such, items that are available online may not be available in-store or vice versa.",https://www.mrp.com/customer-service/faqs,Je! Ninatafutaje kitu maalum katika duka la mkondoni la MR?,"Kuna njia mbili za kupata kile unachotafuta.
Unaweza kuchagua kitengo ambacho unataka kununua katika (wanawake, mens au watoto) na kisha unaweza kununua kwa chapa (k. RT, Oakridge, Red. Redx) au kwa kikundi kidogo (k.m. nguo, viatu, uzazi).Mara tu umechagua kile unachotaka kutazama, unaweza kuibadilisha kwa njia kadhaa.Kwa mfano, unaweza kupanga kutoka kwa bei ya chini hadi bei ya juu, na unaweza kuuliza kuwa ukubwa tu ambao unataka kununua unaonyeshwa kwako.Unaweza pia kuchagua vitu vingapi vinaonyeshwa kwa kila ukurasa na vile vile vitu vingapi vinaonyeshwa kwa safu.
Unaweza kuandika kile unachotafuta kutumia ikoni ya utaftaji juu ya ukurasa na tutakuonyesha vitu vyovyote ambavyo vinahusiana na vigezo vyako vya utaftaji.Duka letu mkondoni ni tofauti na duka zetu za mwili, na kwa hivyo, vitu ambavyo vinapatikana mkondoni vinaweza kuwa visivyopatikana katika duka au kinyume chake.",Je! Ninatafutaje kitu maalum katika duka la mkondoni la MR?,"Kuna njia mbili za kupata kile unachotafuta.
Unaweza kuchagua kitengo ambacho unataka kununua katika (wanawake, mens au watoto) na kisha unaeza kununua kwa chapa (k. RT, Oakridge, Red. Redx) au kwa kikundi kidogo (k.m. nguo, viatu, uzazi).Mara tu umechagua kile unachotaka kutazama, unaeza kuibadilisha kwa njia kadhaa.Kwa mfano, unaeza kupanga kutoka kwa bei ya chini hadi bei ya juu, na unaeza kuuliza kuwa ukubwa tu ambao unataka kununua unaonyeshwa kwako.Unaweza pia kuchagua vitu vingapi vinaonyeshwa kwa kila ukurasa na vile vile vitu vingapi vinaonyeshwa kwa safu.
Unaweza kuandika kile unachotafuta kutumia ikoni ya utaftaji juu ya ukurasa na tutakuonyesha vitu vyovyote ambavyo vinahusiana na vigezo vyako vya utaftaji.Duka letu mkondoni ni tofauti na duka zetu za mwili, na kwa hivyo, vitu ambavyo vinapatikana mkondoni vinaweza kuwa visivyopatikana katika duka au kinyume chake.",search something specific mr price online store,two way find youre looking select category want shop lady men kid shop brand eg rt oakridge red redx subcategory eg dress shoe maternity selected want view sort number way example sort lowest price highest price ask size want shop shown also choose many item shown per page well many item shown per row type looking using search icon top page show item relate search criterion online store separate physical store item available online may available instore vice versa
How do I select the right size for me?,"A good place to start is with our Mr Price Fit Guide which will tell you all about the fits of our Mr Price brands. Or, once you have selected the product you want to purchase, you can click on the ""View Size Chart"" button next to the product image. This will show you a chart that will help you select the correct size for your dimensions. If you buy an item and you are not happy with the fit, you are more than welcome to return it to any Mr Price store for free, or return it via courier, subject to our",https://www.mrp.com/customer-service/faqs,Je! Ninachaguaje saizi inayofaa kwangu?,"Mahali pazuri pa kuanza ni na Mwongozo wetu wa Mr Bei Fit ambao utakuambia yote juu ya usawa wa chapa zetu za Mr Bei.Au, mara tu utakapochagua bidhaa unayotaka kununua, unaweza kubonyeza kitufe cha ""Tazama size"" karibu na picha ya bidhaa.Hii itakuonyesha chati ambayo itakusaidia kuchagua saizi sahihi kwa vipimo vyako.Ikiwa unununua bidhaa na haufurahii na kifafa, unakaribishwa zaidi kuirudisha kwenye duka lolote la bei ya bure, au kuirudisha kupitia barua, chini ya yetu",Je! Ninachaguaje saizi inayofaa kwangu?,"Mahali pazuri pa kuanza ni na Mwongozo wetu wa Mr Bei Fit ambao utakuambia yote juu ya upoa wa chapa zetu za Mr Bei.Au, mara tu utakapochagua bidhaa unayotaka kununua, unaeza kubonyeza kitufe cha ""Tazama size"" fiti na picha ya bidhaa.Hii itakuonyesha chati ambayo itakusaidia kuchagua saizi sahihi kwa vipimo vyako.Ikiwa unununua bidhaa na haufurahii na kifafa, unakaribishwa zaidi kuirudisha kwenye duka lolote la bei ya bure, au kuirudisha kupitia barua, chini ya yetu",select right size,good place start mr price fit guide tell fit mr price brand selected product want purchase click view size chart button next product image show chart help select correct size dimension buy item happy fit welcome return mr price store free return via courier subject
What if I order something that is out of stock?,"You will only be able to order merchandise that is instock. If your size is not available, then you will not be able to select that size. However if we find an item is in stock but not suitable for sale, for reasons beyond our control, we will remove it from your bag and ship the order excluding that item and refund the value of the removed item. Should you have an item in your bag that was in stock but subsequently is out of stock, you will be prompted to remove the out of stock items before proceeding to check out.",https://www.mrp.com/customer-service/faqs,Je! Ikiwa nitaagiza kitu ambacho ni nje ya hisa?,"Utaweza tu kuagiza bidhaa ambayo ni Instock.Ikiwa saizi yako haipatikani, basi hautaweza kuchagua saizi hiyo.Walakini ikiwa tutapata bidhaa iko kwenye hisa lakini haifai kuuzwa, kwa sababu zaidi ya uwezo wetu, tutaiondoa kwenye begi lako na kusafirisha agizo ukiondoa kitu hicho na kurudisha thamani ya kitu kilichoondolewa.Ikiwa utakuwa na kitu kwenye begi lako ambalo lilikuwa kwenye hisa lakini baadaye ni nje ya hisa, utahamasishwa kuondoa nje ya vitu vya hisa kabla ya kuendelea kuangalia.",Je! Ikiwa nitaagiza kitu ambacho ni nje ya hisa?,"Utaweza tu kuagiza bidhaa ambayo ni Instock.Ikiwa saizi yako haipatikani, basi hautaweza kuchagua saizi hiyo.Walakini ikiwa tutapata bidhaa iko kwenye hisa lakini haifai kuuzwa, kwa sababu zaidi ya uwezo wetu, tutaiondoa kwenye begi lako na kusafirisha agizo ukiondoa kitu hicho na kurudisha thamani ya kitu kilichoondolewa.Ikiwa utakuwa na kitu kwenye begi lako ambalo lilikuwa kwenye hisa lakini baadaye ni nje ya hisa, utahamasishwa kuondoa nje ya vitu vya hisa kabla ya kuendelea kuangalia.",order something stock,able order merchandise instock size available able select size however find item stock suitable sale reason beyond control remove bag ship order excluding item refund value removed item item bag stock subsequently stock prompted remove stock item proceeding check
Is it safe to shop online with Mr Price?,"Mr Price subscribes to the highest security and encryption standards, allowing our customers to shop with absolute peace of mind!
Card payments - Through the use of 3D Secure / Payer Authentication, online card payments are now authenticated and verified, allowing for protection against any unauthorized use should your card be lost or stolen.
Instant EFT - We have partnered with instant EFT solution Ozow, formerly known as i-Pay to bring you an easier way of paying online from the comfort of your home.
No need to register with Ozow to pay nor download any app, simply use your existing cellphone/online bank details to pay via Ozow.
Ozow is a seamless, hassle-free and instant method of settling your outstanding account, making the loading process quick and easy within seconds. Ozow allows you to make payments from any of your online bank accounts e.g. savings account, credit card account, cheque account, etc. Tyme and African Bank have also been introduced to the Ozow platform, offering you to make payments with any of the 8 major banks in South Africa.",https://www.mrp.com/customer-service/faqs,Je! Ni salama kununua mkondoni na Mr Bei?,"Bwana Bei anajiunga na viwango vya juu zaidi vya usalama na usimbuaji, kuruhusu wateja wetu kununua na amani kabisa ya akili!
Malipo ya Kadi - Kupitia utumiaji wa uthibitisho wa 3D salama / walipa, malipo ya kadi mkondoni sasa yamethibitishwa na kuthibitishwa, kuruhusu ulinzi dhidi ya matumizi yoyote yasiyoruhusiwa ikiwa kadi yako itapotea au kuibiwa.
EFT ya papo hapo - Tumeshirikiana na suluhisho la papo hapo la EFT Ozow, ambalo zamani lilijulikana kama I -Pay kukuletea njia rahisi ya kulipa mkondoni kutoka kwa faraja ya nyumba yako.
Hakuna haja ya kujiandikisha na Ozow kulipa au kupakua programu yoyote, tumia maelezo yako ya rununu/mkondoni ya mkondoni kulipa kupitia Ozow.
Ozow ni njia isiyo na mshono, isiyo na shida na ya papo hapo ya kumaliza akaunti yako bora, na kufanya mchakato wa upakiaji haraka na rahisi ndani ya sekunde.Ozow hukuruhusu kufanya malipo kutoka kwa akaunti yoyote ya benki yako mkondoni n.k.Akaunti ya akiba, akaunti ya kadi ya mkopo, akaunti ya angalia, nk Tyme na Benki ya Afrika pia wameanzishwa kwenye Jukwaa la Ozow, wakikupa malipo na yoyote ya benki 8 kuu nchini Afrika Kusini.",Je! Ni salama kununua mkondoni na Mr Bei?,"Bwana Bei anajiunga na viwango vya juu zaidi vya usalama na usimbuaji, kuruhusu wateja wetu kununua na amani kabisa ya akili!
Malipo ya Kadi - Kupitia utumiaji wa uthibitisho wa 3D salama / walipa, malipo ya kadi mkondoni sasa yamethibitishwa na kuthibitishwa, kuruhusu ulinzi dhidi ya matumizi yoyote yasiyoruhusiwa ikiwa kadi yako itapotea au kuibiwa.
EFT ya papo hapo - Tumeshirikiana na suluhisho la papo hapo la EFT Ozow, ambalo zamani lilijulikana kama I -Pay kukuletea njia rahisi ya kulipa mkondoni kutoka kwa faraja ya nyumba yako.
Hakuna haja ya kujiandikisha na Ozow kulipa au kupakua programu yoyote, tumia maelezo yako ya rununu/mkondoni ya mkondoni kulipa kupitia Ozow.
Ozow ni njia isiyo na mshono, isiyo na shida na ya papo hapo ya kumaliza akaunti yako bora, na kufanya mchakato wa upakiaji haraka na rahisi ndani ya sekunde.Ozow hukuruhusu kufanya malipo kutoka kwa akaunti yoyote ya benki yako mkondoni n.k.Akaunti ya akiba, akaunti ya kadi ya mkopo, akaunti ya angalia, nk Tyme na Benki ya Afrika pia wameanzishwa kwenye Jukwaa la Ozow, wakikupa malipo na yoyote ya benki 8 kuu nchini Afrika Kusini.",safe shop online mr price,mr price subscribes highest security encryption standard allowing customer shop absolute peace mind card payment use 3d secure payer authentication online card payment authenticated verified allowing protection unauthorized use card lost stolen instant eft partnered instant eft solution ozow formerly known ipay bring easier way paying online comfort home need register ozow pay download app simply use existing cellphoneonline bank detail pay via ozow ozow seamless hasslefree instant method settling outstanding account making loading process quick easy within second ozow allows make payment online bank account eg saving account credit card account cheque account etc tyme african bank also introduced ozow platform offering make payment 8 major bank south africa
What is 3D Secure / Payer Authentication?,"3D Secure or Payer Authentication (MasterCardÂ® SecureCodeâ„¢ and Verified by Visa) provides an additional layer of security and protects you, the cardholder, when making an online purchase using a debit or credit card. Your bank identifies you using a previously selected One-Time Pin or password and therefore knows that it's you shopping online. In doing so, no fraudulent transactions can be made if your card has been lost or stolen - giving you more control of your shopping experience.",https://www.mrp.com/customer-service/faqs,Je! Uthibitishaji wa 3D salama / mlipaji ni nini?,"Uthibitishaji wa 3D salama au walipa (MasterCardâ ® SecureCodeâ „¢ na Imethibitishwa na Visa) hutoa safu ya usalama na inakulinda, mmiliki wa kadi, wakati wa kufanya ununuzi mkondoni kwa kutumia deni au kadi ya mkopo. Benki yako inakutambulisha kwa kutumia wakati uliochaguliwa wa wakati huo haukuweza kufanya kazi kwa muda mrefu.Uzoefu wako wa ununuzi.",Je! Uthibitishaji wa 3D salama / mlipaji ni nini?,"Uthibitishaji wa 3D salama au walipa (MasterCardâ ® SecureCodeâ „¢ na Imethibitishwa na Visa) hutoa safu ya usalama na inakulinda, mmiliki wa kadi, wakati wa kufanya ununuzi mkondoni kwa kutumia deni au kadi ya mkopo. Benki yako inakutambulisha kwa kutumia wakati uliochaguliwa wa wakati huo haukuweza kufanya kazi kwa muda mrefu.Uzoefu wako wa ununuzi.",3d secure payer authentication,3d secure payer authentication mastercardâ® securecodeâ „ ¢ verified visa provides additional layer security protects cardholder making online purchase using debit credit card bank identifies using previously selected onetime pin password therefore know shopping online fraudulent transaction made card lost stolen giving control shopping experience
How do you register with 3D Secure / Payer Authentication?,"The following banks have pre-enrolled all Visa and MasterCard credit cards.

All you need to do is follow the instructions below to check / activate your card now at no extra cost!
Absa - check / activate your card
Nedbank - check / activate your card
Standard Bank - check / activate your card
FNB:
Log on to your FNB Online Banking profile and follow these prompts:
Select the ""My Bank Accounts"" tab
Select the ""My Cards"" sub tab
Click on ""Activate Now"" in the ""Verified by Visa"" column for the card that you would like to activate",https://www.mrp.com/customer-service/faqs,Je! Unajiandikishaje na uthibitisho wa 3D salama / walipa?,"Benki zifuatazo zimejiandikisha kabla ya visa na kadi za mkopo za MasterCard.

Unayohitaji kufanya ni kufuata maagizo hapa chini kuangalia / kuamsha kadi yako sasa bila gharama ya ziada!
Absa - Angalia / anzisha kadi yako
NEDBANK - Angalia / amilisha kadi yako
Benki ya Kawaida - Angalia / Washa kadi yako
FNB:
Ingia kwenye wasifu wako wa benki ya FNB mkondoni na ufuate haya:
Chagua kichupo cha ""Benki yangu""
Chagua tabo ndogo ya ""Kadi zangu""
Bonyeza kwenye ""Anzisha Sasa"" kwenye safu ya ""Imethibitishwa na Visa"" kwa kadi ambayo ungependa kuamsha",Je! Unajiandikishaje na uthibitisho wa 3D salama / walipa?,"Benki zifuatazo zimejiandikisha kabla ya visa na kadi za mkopo za MasterCard.

Unayohitaji kufanya ni kufuata maagizo hapa chini kuangalia / kuamsha kadi yako sasa bila gharama ya ziada!
Absa - Angalia / anzisha kadi yako
NEDBANK - Angalia / amilisha kadi yako
Benki ya Kawaida - Angalia / Washa kadi yako
FNB:
Ingia kwenye wasifu wako wa benki ya FNB mkondoni na ufuate haya:
Chagua kichupo cha ""Benki yangu""
Chagua tabo ndogo ya ""Kadi zangu""
Bonyeza kwenye ""Anzisha Sasa"" kwenye safu ya ""Imethibitishwa na Visa"" kwa kadi ambayo ungependa kuamsha",register 3d secure payer authentication,following bank preenrolled visa mastercard credit card need follow instruction check activate card extra cost absa check activate card nedbank check activate card standard bank check activate card fnb log fnb online banking profile follow prompt select bank account tab select card sub tab click activate verified visa column card would like activate
"My bank is not listed, how do I enroll for 3D Secure / Payer Authentication?","Please contact your bank to find out how you can enroll for 3D Secure or Payer Authentication on your credit card. Certain credit card issuers, such as American Express and Diners Club, do not subscribe to 3D Secure / Payer Authentication yet. These cardholders will not be required to enter a One-Time Pin or Password when shopping online.",https://www.mrp.com/customer-service/faqs,"Benki yangu haijaorodheshwa, ninajiandikishaje kwa uthibitisho wa 3D salama / walipaji?","Tafadhali wasiliana na benki yako ili kujua jinsi unaweza kujiandikisha kwa 3D salama au uthibitisho wa walipaji kwenye kadi yako ya mkopo.Watoa huduma fulani wa kadi ya mkopo, kama vile American Express na Diners Club, hawajiunga na uthibitisho wa 3D salama / walipaji bado.Wamiliki hawa wa kadi hawatahitajika kuingiza pini ya wakati mmoja au nywila wakati wa ununuzi mkondoni.","Benki yangu haijaorodheshwa, ninajiandikishaje kwa uthibitisho wa 3D salama / walipaji?","Tafadhali wasiliana na benki yako ili kujua jinsi unaeza kujiandikisha kwa 3D salama au uthibitisho wa walipaji kwenye kadi yako ya mkopo.Watoa huduma fulani wa kadi ya mkopo, kama vile American Express na Diners Club, hawajiunga na uthibitisho wa 3D salama / walipaji bado.Wamiliki hawa wa kadi hawatahitajika kuingiza pini ya wakati mmoja au nywila wakati wa ununuzi mkondoni.",bank listed enroll 3d secure payer authentication,please contact bank find enroll 3d secure payer authentication credit card certain credit card issuer american express diner club subscribe 3d secure payer authentication yet cardholder required enter onetime pin password shopping online
What are the different payment options that I have for purchasing from Mr Price online?,"You have five different options:
You can pay using a credit card;
You can pay using a cheque or debit card (only eCommerce enabled debits cards are currently supported.);
You can pay using your Mr Price Money account;
You can pay using an electronic Mr Price Gift Card in full or together with another payment method;
You can pay using Ozow Instant EFT",https://www.mrp.com/customer-service/faqs,Je! Ni chaguzi gani tofauti za malipo ambazo ninazo za ununuzi kutoka kwa Mr Bei mkondoni?,"Una chaguzi tano tofauti:
Unaweza kulipa kwa kutumia kadi ya mkopo;
Unaweza kulipa kwa kutumia kadi ya cheki au deni (kadi tu za eCommerce zilizowezeshwa kwa sasa zinasaidiwa.);
Unaweza kulipa kwa kutumia akaunti yako ya pesa ya MR;
Unaweza kulipa kwa kutumia kadi ya zawadi ya bei ya MR ya elektroniki kamili au pamoja na njia nyingine ya malipo;
Unaweza kulipa kwa kutumia Ozow papo hapo EFT",Je! Ni chaguzi gani tofauti za malipo ambazo ninazo za ununuzi kutoka kwa Mr Bei mkondoni?,"Una chaguzi tano tofauti:
Unaweza kulipa kwa kutumia kadi ya mkopo;
Unaweza kulipa kwa kutumia kadi ya cheki au deni (kadi tu za eCommerce zilizowezeshwa kwa sasa zinasaidiwa.);
Unaweza kulipa kwa kutumia akaunti yako ya doe ya MR;
Unaweza kulipa kwa kutumia kadi ya zawadi ya bei ya MR ya elektroniki kamili au pamoja na njia nyingine ya malipo;
Unaweza kulipa kwa kutumia Ozow papo hapo EFT",different payment option purchasing mr price online,five different option pay using credit card pay using cheque debit card ecommerce enabled debit card currently supported pay using mr price money account pay using electronic mr price gift card full together another payment method pay using ozow instant eft
What is Ozow Instant EFT?,"Ozow is a seamless, hassle-free and instant method of settling your outstanding account, making the loading process quick and easy within seconds. Ozow allows you to make payments from any of your online bank accounts e.g. savings account, credit card account, cheque account, etc. Tyme and African Bank have also been introduced to the Ozow platform, offering you to make payments with any of the 8 major banks in South Africa.
How to pay with Ozow:



Why did we change our Manual EFT process?
We believe that paying online should be simple, speedy and safe. In the past, our Manual EFT option meant you had to wait up to 48 hours for your payment to clear, which meant a delay in your delivery. The process also required you to use your order number as your reference, which led to a lot of mistakes. An all-round inconvenient process! Which is why we have added a new Instant EFT payment option provided by Ozow.",https://www.mrp.com/customer-service/faqs,Ozow ni nini papo hapo?,"Ozow ni njia isiyo na mshono, isiyo na shida na ya papo hapo ya kumaliza akaunti yako bora, na kufanya mchakato wa upakiaji haraka na rahisi ndani ya sekunde.Ozow hukuruhusu kufanya malipo kutoka kwa akaunti yoyote ya benki yako mkondoni n.k.Akaunti ya akiba, akaunti ya kadi ya mkopo, akaunti ya angalia, nk Tyme na Benki ya Afrika pia wameanzishwa kwenye Jukwaa la Ozow, wakikupa malipo na yoyote ya benki 8 kuu nchini Afrika Kusini.
Jinsi ya kulipa na Ozow:



Kwa nini tulibadilisha mchakato wetu wa mwongozo wa EFT?
Tunaamini kuwa kulipa mkondoni kunapaswa kuwa rahisi, haraka na salama.Hapo zamani, chaguo letu la mwongozo la EFT lilimaanisha ilibidi subiri hadi masaa 48 ili malipo yako yawe wazi, ambayo ilimaanisha kuchelewesha kwa utoaji wako.Mchakato huo pia ulikuhitaji utumie nambari yako ya agizo kama kumbukumbu yako, ambayo ilisababisha makosa mengi.Mchakato wa pande zote wa pande zote!Ndio sababu tumeongeza chaguo mpya la malipo ya EFT ya papo hapo iliyotolewa na Ozow.",Ozow ni nini papo hapo?,"Ozow ni njia isiyo na mshono, isiyo na shida na ya papo hapo ya kumaliza akaunti yako bora, na kufanya mchakato wa upakiaji haraka na rahisi ndani ya sekunde.Ozow hukuruhusu kufanya malipo kutoka kwa akaunti yoyote ya benki yako mkondoni n.k.Akaunti ya akiba, akaunti ya kadi ya mkopo, akaunti ya angalia, nk Tyme na Benki ya Afrika pia wameanzishwa kwenye Jukwaa la Ozow, wakikupa malipo na yoyote ya benki 8 kuu nchini Afrika Kusini.
Jinsi ya kulipa na Ozow:



Kwa nini tulibadilisha mchakato wetu wa mwongozo wa EFT?
Tunaamini kuwa kulipa mkondoni kunapaswa kuwa rahisi, haraka na salama.Hapo zamani, chaguo letu la mwongozo la EFT lilimaanisha ilibidi subiri hadi matime 48 ili malipo yako yawe wazi, ambayo ilimaanisha kuchelewesha kwa utoaji wako.Mchakato huo pia ulikuhitaji utumie nambari yako ya agizo kama kumbukumbu yako, ambayo ilisababisha makosa mengi.Mchakato wa pande zote wa pande zote!Ndio sababu tumeongeza chaguo mpya la malipo ya EFT ya papo hapo iliyotolewa na Ozow.",ozow instant eft,ozow seamless hasslefree instant method settling outstanding account making loading process quick easy within second ozow allows make payment online bank account eg saving account credit card account cheque account etc tyme african bank also introduced ozow platform offering make payment 8 major bank south africa pay ozow change manual eft process believe paying online simple speedy safe past manual eft option meant wait 48 hour payment clear meant delay delivery process also required use order number reference led lot mistake allround inconvenient process added new instant eft payment option provided ozow
What if I am unhappy with my purchase?,"We'll be sad to hear that but happy to help! You can return any item for free to one of our Mr Price stores, or you can return it via Courier who will collect from you. See ""How can I return my order or part of my order?"" for an explanation on return procedures and costs or view our Returns Terms and Conditions.",https://www.mrp.com/customer-service/faqs,Je! Ikiwa sina furaha na ununuzi wangu?,"Tutakuwa na huzuni kusikia hivyo lakini tunafurahi kusaidia!Unaweza kurudisha kitu chochote bure kwa moja ya duka zetu za bei ya MR, au unaweza kuirudisha kupitia Courier ambaye atakusanya kutoka kwako.Angalia ""Ninawezaje kurudisha agizo langu au sehemu ya agizo langu?""Kwa maelezo juu ya taratibu za kurudi na gharama au angalia masharti na masharti yetu ya kurudi.",Je! Ikiwa sina furaha na ununuzi wangu?,"Tutakuwa na huzuni kusikia hivyo lakini tunafurahi kusaidia!Unaweza kurudisha kitu chochote bure kwa moja ya duka zetu za bei ya MR, au unaeza kuirudisha kupitia Courier ambaye atakusanya kutoka kwako.Angalia ""Ninawezaje kurudisha agizo langu au sehemu ya agizo langu?""Kwa maelezo juu ya taratibu za kurudi na gharama au angalia masharti na masharti yetu ya kurudi.",unhappy purchase,well sad hear happy help return item free one mr price store return via courier collect see return order part order explanation return procedure cost view return term condition
