Question,Answer,Source
Where is my order?,"Your orders are delivered from our warehouse to a local shipping company within 3-5 days. Once your package has been received by the local shipping company, you can track your order by clicking on the ""Order Tracking"" link on the order detail page. If your delivery is delayed, you can contact our customer service representatives by email or telephone anytime.",https://www.lcwaikiki.rs/en/help/faq
Which shipping company will send my order?,Your order will be delivered via the courier company City Express .,https://www.lcwaikiki.rs/en/help/faq
When my order will be delivered to me?,You order will be delivered to the shipping company within 3-5 working days. Click herehttps://www.cityexpress.rs/en/shipment-tracing/for full details regarding shipping and delivery times.,https://www.lcwaikiki.rs/en/help/faq
I didn't receive my order. What should I do?,"If you did not receive your order on time, you can contact our customer representatives by the phone number given in the content of â€œcontactâ€.",https://www.lcwaikiki.rs/en/help/faq
How can I order without being a member?,"After adding the products that you want to purchase to the basket, you may click â€œview basketâ€ and proceed with â€œcomplete the orderâ€ button. Enter your email address in the field under "" Continue as Guest"" on the right-hand side of the screen. Click the â€œContinueâ€ button after entering your delivery information. After filling out your payment information, the order will be placed successfully.",https://www.lcwaikiki.rs/en/help/faq
I placed my order but I want to add/remove products. What can I do?,"Unfortunately, it is not possible to make a change once the order has been placed. You may cancel it and place a new one with the products that you want.",https://www.lcwaikiki.rs/en/help/faq
Can I make a change the size of a product in my order?,It is not possible to change specifics of an order once it has been submitted. You may cancel the order and place a new one with the sizes that you want.,https://www.lcwaikiki.rs/en/help/faq
Can I choose a new product to replace the item that was unavailable or out of stock after I placed my order?,"Unfortunately, not. Your item will be automatically canceled if it is out of stock or no longer available, and you'll automatically be notified and refunded for this inconvenience. You can, however, create a new order for a different product afterwards.",https://www.lcwaikiki.rs/en/help/faq
Can I exchange a product after placing my order?,"Unfortunately, we do not allow for the exchange of products ordered from our online stores.",https://www.lcwaikiki.rs/en/help/faq
Can I return my order?,You may return your order/products by taking into consideration return policy explained here.,https://www.lcwaikiki.rs/en/help/faq
How many days does it take for my return to be processed and for me to receive my refund?,"Although it varies from bank to bank, the average refund period is 14 days.",https://www.lcwaikiki.rs/en/help/faq
Are there any customs tax or fees?,"Products will be sent from our warehouse in Serbia. For this reason, customs fees will not occur.",https://www.lcwaikiki.rs/en/help/faq
When will I receive my online order?,"CLICK & COLLECT: Your order will take between 4-6 working days* to arrive at store ready for you to collect. You can track your order online under my account and we will also notify you via email when your order has been received, when your order has been shipped and again when your order has reached the store you have selected. We will also email you to remind you to collect your order if you have not collected it after 7 days, and again after 14 days (only for Click + Collect Courier delivery options).
PARGO PICK-UP POINT: Your order will take between 2-4 working days* to arrive at a collection point ready for you to collect. Shop online and collect your parcel from a convenient Pargo Pickup Point instead of waiting for your home delivery. Enjoy the flexibility of collecting parcels whenever it suits you, including on weekends and after work at hundreds of popular collection points nationwide. Parcels are tracked at all times and stored in a safe and secure area.
DOOR TO DOOR: Your order will take between 3-5 working days* to get to you. You can track your order online under my account and we will also notify you via email when your order has been received, when your order has been shipped and again when your order has been delivered.",https://www.mrp.com/customer-service/faqs
Does Mr Price offer Lay-by?,"Yes! Lay-by is a shopping agreement between you and Mr Price. It lets you choose product that you love, set it aside and pay for it over 3 months. There are no credit checks and no interest. We keep your selected items safe until youâ€™ve paid the full amount, then you collect your items! For more information on Lay-By, please click here.",https://www.mrp.com/customer-service/faqs
What is Scan to Pay?,"Scan to pay is the next-level when it comes to easy, contactless payments. All you need is your phone, the Mr Price app and youâ€™re ready to scan and pay! No more wallets, cards, cash and unnecessary contact. You can also link your Mr Price Money account to your app to make payments.",https://www.mrp.com/customer-service/faqs
Can I pay my account in-store?,"Yes, you will be able to pay your account in-store however, we have four easy payment options you can use without leaving your house. You can pay your account by visiting mrpmoney.com, using your Mr Price app, by dialing *120*410# or using online banking.",https://www.mrp.com/customer-service/faqs
How do I shop online with Mr Price?,"It is really easy!
Whether youâ€™re on your mobile phone or PC, getting started with us is a breeze. Simply register to unlock a world of shopping at your fingertips.
Once youâ€™re in, feel free to explore our site and discover items that catch your eye. When youâ€™ve made your choice, click on the â€œAdd to Bagâ€ button to secure your selection. Please note, some items may require you to pick your preferred colour and size.
Next up is the checkout process. Here, youâ€™ll be prompted to choose your delivery option. After that, you can select your preferred payment method (for more information, please refer to our payment options).
Upon completion of your purchase, weâ€™ll promptly send you an SMS or email to confirm that weâ€™ve received your order. But thatâ€™s not all - weâ€™ll also keep you updated on the status of your order every step of the way. Happy shopping!",https://www.mrp.com/customer-service/faqs
Can I shop online using your App?,"Yes, you can! You get R100 off your first order on the Mr Price app! Simply use the coupon MRP100 at checkout. find out more about the Mr Price here",https://www.mrp.com/customer-service/faqs
How do I search for something specific in the Mr Price online store?,"There are two ways to find what you're looking for.
You can select the category that you want to shop in (Ladies, Mens or Kids) and then you can shop by brand (e.g. RT, Oakridge, RED. REDX) or by sub-category (e.g. dresses, shoes, maternity). Once you have selected what you want to view, you can sort it in a number of ways. For example, you can sort from lowest price to highest price, and you can ask that only the sizes that you want to shop for are shown to you. You can also choose how many items are shown per page as well as how many items are shown per row.
You can type in what you are looking for using the search icon at the top of the page and we will show you any items that relate to your search criteria. Our online store is separate from our physical stores, and as such, items that are available online may not be available in-store or vice versa.",https://www.mrp.com/customer-service/faqs
How do I select the right size for me?,"A good place to start is with our Mr Price Fit Guide which will tell you all about the fits of our Mr Price brands. Or, once you have selected the product you want to purchase, you can click on the ""View Size Chart"" button next to the product image. This will show you a chart that will help you select the correct size for your dimensions. If you buy an item and you are not happy with the fit, you are more than welcome to return it to any Mr Price store for free, or return it via courier, subject to our",https://www.mrp.com/customer-service/faqs
What if I order something that is out of stock?,"You will only be able to order merchandise that is instock. If your size is not available, then you will not be able to select that size. However if we find an item is in stock but not suitable for sale, for reasons beyond our control, we will remove it from your bag and ship the order excluding that item and refund the value of the removed item. Should you have an item in your bag that was in stock but subsequently is out of stock, you will be prompted to remove the out of stock items before proceeding to check out.",https://www.mrp.com/customer-service/faqs
Is it safe to shop online with Mr Price?,"Mr Price subscribes to the highest security and encryption standards, allowing our customers to shop with absolute peace of mind!
Card payments - Through the use of 3D Secure / Payer Authentication, online card payments are now authenticated and verified, allowing for protection against any unauthorized use should your card be lost or stolen.
Instant EFT - We have partnered with instant EFT solution Ozow, formerly known as i-Pay to bring you an easier way of paying online from the comfort of your home.
No need to register with Ozow to pay nor download any app, simply use your existing cellphone/online bank details to pay via Ozow.
Ozow is a seamless, hassle-free and instant method of settling your outstanding account, making the loading process quick and easy within seconds. Ozow allows you to make payments from any of your online bank accounts e.g. savings account, credit card account, cheque account, etc. Tyme and African Bank have also been introduced to the Ozow platform, offering you to make payments with any of the 8 major banks in South Africa.",https://www.mrp.com/customer-service/faqs
What is 3D Secure / Payer Authentication?,"3D Secure or Payer Authentication (MasterCardÂ® SecureCodeâ„¢ and Verified by Visa) provides an additional layer of security and protects you, the cardholder, when making an online purchase using a debit or credit card. Your bank identifies you using a previously selected One-Time Pin or password and therefore knows that it's you shopping online. In doing so, no fraudulent transactions can be made if your card has been lost or stolen - giving you more control of your shopping experience.",https://www.mrp.com/customer-service/faqs
How do you register with 3D Secure / Payer Authentication?,"The following banks have pre-enrolled all Visa and MasterCard credit cards.

All you need to do is follow the instructions below to check / activate your card now at no extra cost!
Absa - check / activate your card
Nedbank - check / activate your card
Standard Bank - check / activate your card
FNB:
Log on to your FNB Online Banking profile and follow these prompts:
Select the ""My Bank Accounts"" tab
Select the ""My Cards"" sub tab
Click on ""Activate Now"" in the ""Verified by Visa"" column for the card that you would like to activate",https://www.mrp.com/customer-service/faqs
"My bank is not listed, how do I enroll for 3D Secure / Payer Authentication?","Please contact your bank to find out how you can enroll for 3D Secure or Payer Authentication on your credit card. Certain credit card issuers, such as American Express and Diners Club, do not subscribe to 3D Secure / Payer Authentication yet. These cardholders will not be required to enter a One-Time Pin or Password when shopping online.",https://www.mrp.com/customer-service/faqs
What are the different payment options that I have for purchasing from Mr Price online?,"You have five different options:
You can pay using a credit card;
You can pay using a cheque or debit card (only eCommerce enabled debits cards are currently supported.);
You can pay using your Mr Price Money account;
You can pay using an electronic Mr Price Gift Card in full or together with another payment method;
You can pay using Ozow Instant EFT",https://www.mrp.com/customer-service/faqs
What is Ozow Instant EFT?,"Ozow is a seamless, hassle-free and instant method of settling your outstanding account, making the loading process quick and easy within seconds. Ozow allows you to make payments from any of your online bank accounts e.g. savings account, credit card account, cheque account, etc. Tyme and African Bank have also been introduced to the Ozow platform, offering you to make payments with any of the 8 major banks in South Africa.
How to pay with Ozow:



Why did we change our Manual EFT process?
We believe that paying online should be simple, speedy and safe. In the past, our Manual EFT option meant you had to wait up to 48 hours for your payment to clear, which meant a delay in your delivery. The process also required you to use your order number as your reference, which led to a lot of mistakes. An all-round inconvenient process! Which is why we have added a new Instant EFT payment option provided by Ozow.",https://www.mrp.com/customer-service/faqs
What if I am unhappy with my purchase?,"We'll be sad to hear that but happy to help! You can return any item for free to one of our Mr Price stores, or you can return it via Courier who will collect from you. See ""How can I return my order or part of my order?"" for an explanation on return procedures and costs or view our Returns Terms and Conditions.",https://www.mrp.com/customer-service/faqs
How can I contact Mr Price?,"The easiest way is to chat with us using the live chat on our website, drop us a line on 0800 212 535 or leave us a message on our help page. We'll get back to you right away! You can also now chat to us on WhatsApp! Simply add +27 64 584 1000 as a contact on your phone, message us and say Hi! There are many cool features to take advantage of. You can:
Track your order
Search for products
See whatâ€™s new",https://www.mrp.com/customer-service/faqs
Can you help? I've forgotten my password!,"Sure thing! Simply click on the ""FORGOT PASSWORD?"""" link on the ""Sign In"" page. We will then email you a link where you can reset a new password. You will be given three chances to enter the correct password, after which your profile will be locked. If this happens, you will need to contact us and we'll send you an email with a link to reset your password.",https://www.mrp.com/customer-service/faqs
How do I sign-up for a Newsletter?,"Simply enter your email address in the ""Hook me up with fashion news"" section at the bottom of our website. You can select the type of content you want to receive (Ladies, Mens, Kids or everything). If at any time you want to stop getting our newsletter, click on the ""update preferences"" button at the bottom of the any of your emails to stop any unwanted emails or you can simply ""unsubscribe"" from all newsletters.",https://www.mrp.com/customer-service/faqs
How do I know if an Mr Price competition is genuine?,"Competitions run by Mr Price will only ever be posted on our official website: www.mrp.com and our official social media pages using @mrpfashion on Facebook, Instagram, Twitter. If someone phones you to tell you about a new Mr Price competition, and asks you to pay an entry fee, it wonâ€™t be rude to hang up. Thatâ€™s a scam call! The only time someone from Mr Price will call you is to notify you that have won a competition that you entered, via the correct channels.",https://www.mrp.com/customer-service/faqs
Do I need to pay a fee when applying for a job at Mr Price?,"Nope. Never. Not even ever! We will never ask for your banking details or an application or interview fee for a Mr Price job. We will only advertise potential positions on our official website: www.mrpcareers.com, our @MRPCareers social media pages or our @MRPFashion social media pages - Facebook, Instagram and Twitter. We also have a business page on Linked-In where we post job opportunities under the JOBS tab:",https://www.mrp.com/customer-service/faqs
How will my order get delivered to me?,"You can choose between three super convenient delivery options:
We can deliver to your nearest Mr Price store with our Click + Collect option. If you select this option you will need to select the specific store from a list that we will show you when you are processing your online order. Get FREE store delivery with Click + Click economy on orders over R350!
We can deliver to your chosen Pargo Pickup Point. Enjoy the flexibility of collecting parcels whenever it suits you, including on weekends and after work at hundreds of popular collection points nationwide.",https://www.mrp.com/customer-service/faqs
How much will delivery cost me?,"Delivery How much will it cost? How long will it take?
Click & Collect Economy R10 4-6 Working Days
Pargo Pickup Point - New! R45 2-4 Working Days
Door to Door Economy R45 3-5 Working Days",https://www.mrp.com/customer-service/faqs
When will I receive my online order?,"CLICK & COLLECT: Your order will take between 4-6 working days* to arrive at store ready for you to collect. You can track your order online under my account and we will also notify you via email when your order has been received, when your order has been shipped and again when your order has reached the store you have selected. We will also email you to remind you to collect your order if you have not collected it after 7 days, and again after 14 days (only for Click + Collect Courier delivery options).
PARGO PICK-UP POINT: Your order will take between 2-4 working days* to arrive at a collection point ready for you to collect. Shop online and collect your parcel from a convenient Pargo Pickup Point instead of waiting for your home delivery. Enjoy the flexibility of collecting parcels whenever it suits you, including on weekends and after work at hundreds of popular collection points nationwide. Parcels are tracked at all times and stored in a safe and secure area.",https://www.mrp.com/customer-service/faqs
Do I need to show anything when my cellular order is delivered?,"Yes, you will need to show your ID book or smart card, driverâ€™s license or passport and proof of address. This is for our customers protection to ensure your device lands in the correct hands and to facilitate the Rica process.",https://www.mrp.com/customer-service/faqs
Where is my order?,"To track your order, you can choose from the following:
Download the Mr Price app from the Google Play or Apple App store, sign in and check â€œMy Ordersâ€ to see the status of your orders.
You can also track the status of your order by logging into your profile on mrp.com and clicking on ""My Orders"". Once you have selected the order that you wish to track, you will be able to see if your order has been received by us, if it has been shipped to you and if it has arrived at the store of your choice.
You will be able to track whether the order has been delivered to the address that you have chosen. We will also send you emails to let you know how your order is progressing. You can also contact us if you would like help with tracking your order.",https://www.mrp.com/customer-service/faqs
How can I cancel my order?,"We'll be sad that you want to cancel your order but happy to help! All you need to do is contact our Call Centre agents on 0800 212 535 or drop us a mail at help@mrp.com , include your order number and request and we will be able to cancel your order and refund the payment using the original payment method.",https://www.mrp.com/customer-service/faqs
How long will it take for me to receive my refund?,"It all depends on the payment method you used when you placed your order. Here are the different times based on the different payment options:
Credit Card: This will take 5-7 working days (excluding weekends and public holidays) to reflect in your account.
Mr Price Money Account: This will take 24-48 hours to reflect in your account.",https://www.mrp.com/customer-service/faqs
Can I return any merchandise?,"The easiest way to return your order is to drop it off at your nearest Mr Price clothing store for FREE (conditions apply).
You can also return your order via Courier. Please contact customer care on 0800 212 535 should you wish to arrange a return via courier. Please note that the cost of the courier will be deducted from your refund.
Please note we do not accept returns for certain items like Underwear and Earrings. Not sure? Checkout out our returns policy.
Please note cellular devices can only be returned if there is a valid technical fault, or if the device is still in the box with the packaging seal unopened. Please make sure youâ€™re happy with your purchase before breaking the seal. Checkout our returns policy for more info. To process a return please contact customer care on 0800 212 535 , they will direct you to the nearest Mr Price Cellular store.",https://www.mrp.com/customer-service/faqs
How long will I have to return my order?,"You can return any item for free to one of our Mr Price stores, or you can return it via Courier who will collect from you. Please remember that if you are not happy with any of your items in your order, you will have 30 days from date of delivery in order to return these items.",https://www.mrp.com/customer-service/faqs
How much will it cost me to return my order?,"Returning your order to any one of our Mr Price clothing stores is totally FREE. If you choose to return your order via the Post Office, you will be charged standard SAPO rates to return your parcel to us. If you choose to return your merchandise using our Courier service, we will advise you on the cost of the return while you are processing your return online, as the cost will vary depending on your location. We do not refund delivery costs, no matter which channel you decide to use to return your merchandise.",https://www.mrp.com/customer-service/faqs
How can I return my order or part of my order?,"You have two options to return your order:
You can return it to your nearest Mr Price clothing store for free (conditions apply). This is the easiest method.
You can also return your order via the Post Office or via Courier. If you choose one of these options you will need to pay for the cost of the return. To make a return using one of these channels you will need to package your return and insert the return confirmation page into the package (you can either print the return confirmation online or you can fill in the printed one that we sent you with your order). Please make sure that the address is legible on the package:

Mr Price Returns DC
222 Umgeni Road
Greyville",https://www.mrp.com/customer-service/faqs
Can I return my order to a Mr Price Home or a Mr Price Sport store?,"No, you can only return your order to a Mr Price clothing store. For your nearest Mr Price store, use our store locator service online. service online.
Please note, cellular device returns can only be processed at Mr Price Cellular stores and certain Mr Price stores. Please contact customer care on 0800 212 535 and they will direct you to the nearest store.",https://www.mrp.com/customer-service/faqs
What happens if there is nobody to receive my order when the Courier delivers to me?,"The Courier will make an attempt to call you and arrange a date and time that is suitable for you to receive your delivery. After a second delivery attempt the Courier will return your order to Mr Price, and you will be credited for your purchase minus the cost of delivery and the cost of returning the package to us.",https://www.mrp.com/customer-service/faqs
Can I select somebody to receive my order for me if I am not going to be there when the Courier service delivers to me?,"Yes you can, but do note that we will not accept responsibility for anyone who receives your order at your chosen address, that is not authorised to do so.

Please note, for cellular purchases you will need to be present to receive your order. This is for our customers protection to ensure your device lands in the correct hands.",https://www.mrp.com/customer-service/faqs
How will I be credited for my return?,"If you return your merchandise to one of our stores, we will credit you immediately as follows (subject to our Returns Terms and Conditions):
If you purchased using a credit card or a cheque/debit card we will refund the card that you used. Please make sure that you bring the card that you used to purchase your merchandise with you so that we can process the credit for you, failing which we will have to issue you with a Gift card to the value of your credit.
If you purchased using your Mr Price money account, we will credit your account or issue you with a Gift Card to the value of your credit;
If you purchased using cash, we will credit you with cash or we will issue you with a Gift card to the value of your credit;
If you purchased using a Gift card we will issue you with another Gift card to the value of your credit;
If you purchased via Instant EFT, we will attempt to refund you back in into your account or issue you with a Gift card to the value of your credit.",https://www.mrp.com/customer-service/faqs
What if I received a damaged or soiled item?,"Should you receive a damaged or soiled item you will be requested to take a pic of the damaged/soiled item and fill out a Return Enquiry on our Help page. A Customer Care agent will then contact you regarding the return, replacement or refund.",https://www.mrp.com/customer-service/faqs
What if I receive an item with a factory fault?,"Should you receive an item with a factory fault , you will be requested to take a pic of the item and fill out a Return Enquiry on our Help page. A Customer Care agent will then contact you regarding the return, replacement or refund of the item.",https://www.mrp.com/customer-service/faqs
"Does mrprice.com include any of the import Customs, Duties and/or Taxes?","No, we do not include any of the import customs, duties or taxes. Each country is different and the recipient will be responsible for the respective import customs, duties or taxes charged in their country. Delivery cost is included and can be seen here.",https://www.mrp.com/customer-service/faqs
How do I buy an electronic gift card?,"It's really easy! Simply follow the easy steps by clicking on the Gift card link. You can choose the value of the voucher you want to send; you can also choose who you want to send it to, how you want to send it (via e-mail or sms) and you can even personalise the voucher with a note from yourself. Once the recipient has received the voucher, they can redeem it by entering the unique code into the promotion code area of the checkout page. What's more, if the recipient wants to spend more than the value of the gift card, they can top-up their purchase with another form of payment such as a credit card. Still got questions?",https://www.mrp.com/customer-service/faqs
I want to send a Gift to someone. Can I send my purchase to another recipient?,Of course you can. Simply enter the address of the person and their name when you select your shipping option (you will need to select the Courier option to do so).,https://www.mrp.com/customer-service/faqs
How do I redeem an electronic gift card?,"Simply select the merchandise that you wish to buy by adding it to your cart and then proceeding with your checkout. On the Bag Summary page you will be given the option to enter your voucher number. Make sure that you enter the code correctly - and then you are done! The gift card value will automatically be deducted from your purchase value. You can then top up your purchase with another payment type like your Mr Price Money account or a credit card, if you need to.",https://www.mrp.com/customer-service/faqs
